image;threads;seconds
4k.jpg;1;0.824896
4k.jpg;1;0.847797
4k.jpg;1;0.840805
4k.jpg;1;0.841603
4k.jpg;1;0.840212
4k.jpg;1;0.816990
4k.jpg;1;0.849589
4k.jpg;1;0.835850
4k.jpg;1;0.851376
4k.jpg;1;0.840247
4k.jpg;1;0.818864
4k.jpg;1;0.836588
4k.jpg;1;0.833191
4k.jpg;2;0.809099
4k.jpg;2;1.187009
4k.jpg;2;0.828127
4k.jpg;2;0.822144
4k.jpg;2;0.826140
4k.jpg;2;0.820645
4k.jpg;2;0.821194
4k.jpg;2;0.820559
4k.jpg;2;0.823011
4k.jpg;2;0.817904
4k.jpg;2;0.805539
4k.jpg;2;0.809845
4k.jpg;2;0.817275
4k.jpg;2;0.815291
4k.jpg;2;0.809749
4k.jpg;2;0.801912
4k.jpg;2;0.819216
4k.jpg;2;0.813078
4k.jpg;2;0.815004
4k.jpg;2;0.813177
4k.jpg;2;0.818721
4k.jpg;2;0.832706
4k.jpg;2;0.814277
4k.jpg;2;0.825522
4k.jpg;2;0.832276
4k.jpg;2;0.820507
4k.jpg;2;0.822753
4k.jpg;2;0.817536
4k.jpg;2;0.814223
4k.jpg;2;0.827555
4k.jpg;2;0.831410
4k.jpg;2;0.821672
4k.jpg;2;0.832635
4k.jpg;2;0.824895
4k.jpg;2;0.817446
4k.jpg;2;0.827159
4k.jpg;2;0.816136
4k.jpg;2;0.813177
4k.jpg;2;0.828136
4k.jpg;2;0.818317
4k.jpg;4;0.795478
4k.jpg;4;0.807687
4k.jpg;4;0.804284
4k.jpg;4;0.808767
4k.jpg;4;0.800229
4k.jpg;4;0.805487
4k.jpg;4;0.810807
4k.jpg;4;0.805521
4k.jpg;4;0.800398
4k.jpg;4;0.795342
4k.jpg;4;0.800935
4k.jpg;4;0.795613
4k.jpg;4;0.801836
4k.jpg;4;0.809576
4k.jpg;4;0.804619
4k.jpg;4;0.799415
4k.jpg;4;0.802537
4k.jpg;4;0.804350
4k.jpg;4;0.807907
4k.jpg;4;0.790641
4k.jpg;4;0.807447
4k.jpg;4;0.812665
4k.jpg;4;0.810216
4k.jpg;4;0.787940
4k.jpg;4;0.800555
4k.jpg;4;0.813685
4k.jpg;4;0.806982
4k.jpg;4;0.796415
4k.jpg;4;0.797089
4k.jpg;4;0.798173
4k.jpg;4;0.796595
4k.jpg;4;0.801243
4k.jpg;4;0.798498
4k.jpg;4;0.803244
4k.jpg;4;0.802178
4k.jpg;4;0.799946
4k.jpg;4;0.798914
4k.jpg;4;0.790362
4k.jpg;4;0.801571
4k.jpg;4;0.796264
4k.jpg;8;0.792586
4k.jpg;8;0.791843
4k.jpg;8;0.804776
4k.jpg;8;0.794227
4k.jpg;8;0.785202
4k.jpg;8;0.803200
4k.jpg;8;0.794168
4k.jpg;8;0.798943
4k.jpg;8;0.800936
4k.jpg;8;0.793190
4k.jpg;8;0.806299
4k.jpg;8;0.798612
4k.jpg;8;0.794734
4k.jpg;8;0.793205
4k.jpg;8;0.800779
4k.jpg;8;0.794956
4k.jpg;8;0.791244
4k.jpg;8;0.803611
4k.jpg;8;0.792815
4k.jpg;8;0.801904
4k.jpg;8;0.802688
4k.jpg;8;0.802126
4k.jpg;8;0.789388
4k.jpg;8;0.793182
4k.jpg;8;0.791750
4k.jpg;8;0.796331
4k.jpg;8;0.792694
4k.jpg;8;0.790358
4k.jpg;8;0.793283
4k.jpg;8;0.801892
4k.jpg;8;0.796302
4k.jpg;8;0.784554
4k.jpg;8;0.804889
4k.jpg;8;0.791628
4k.jpg;8;0.795633
4k.jpg;8;0.794618
4k.jpg;8;0.789713
4k.jpg;8;0.791455
4k.jpg;8;0.800706
4k.jpg;8;0.784484
4k.jpg;16;0.783809
4k.jpg;16;0.798757
4k.jpg;16;0.795016
4k.jpg;16;0.794171
4k.jpg;16;0.792266
4k.jpg;16;0.782389
4k.jpg;16;0.791425
4k.jpg;16;0.792951
4k.jpg;16;0.787954
4k.jpg;16;0.798109
4k.jpg;16;0.785285
4k.jpg;16;0.789772
4k.jpg;16;0.798782
4k.jpg;16;0.794744
4k.jpg;16;0.782372
4k.jpg;16;0.799412
4k.jpg;16;0.790417
4k.jpg;16;0.789411
4k.jpg;16;0.784389
4k.jpg;16;0.784238
4k.jpg;16;0.811594
4k.jpg;16;0.799571
4k.jpg;16;0.798932
